symbol	length	Control_D0	Control_D1	AATF_D0	AATF_D1
ENSG00000180346.2	2083.00	169.00	138.00	168.00	215.00
ENSG00000180353.6	1069.00	1.00	1.00	1.00	1.00
ENSG00000180354.11	3937.62	350.00	279.00	443.00	467.00
ENSG00000180357.5	8694.56	1158.00	1053.00	1360.00	1260.00
ENSG00000180370.6	6007.46	2127.00	1795.00	2882.00	2767.00
ENSG00000180376.12	2198.08	171.00	167.00	234.00	204.00
ENSG00000180385.4	2471.00	103.00	99.00	87.00	69.00
ENSG00000180389.6	385.00	1.00	1.00	3.00	0.00
ENSG00000180398.7	3863.07	6758.02	5418.00	7309.00	7383.00
ENSG00000180422.3	1734.00	1.00	1.00	0.00	0.00
ENSG00000180423.4	1558.92	41.00	29.00	52.00	42.00
ENSG00000180425.7	652.00	8.00	10.00	6.00	5.00
ENSG00000180432.4	3950.00	134.00	128.00	66.00	42.00
ENSG00000180438.10	1019.50	0.00	0.00	0.00	0.00
ENSG00000180448.6	3127.62	226.00	361.00	135.00	129.00
ENSG00000180458.2	3267.00	1.00	0.00	1.00	0.00
ENSG00000180475.4	1037.00	1.00	1.00	1.00	1.00
ENSG00000180479.9	2178.24	48.00	41.00	36.00	51.00
ENSG00000180488.10	4954.16	318.00	276.00	465.00	495.00
ENSG00000180509.7	2051.71	0.00	0.00	0.00	0.00
ENSG00000180525.9	2452.72	64.00	61.00	79.00	79.00
ENSG00000180530.5	7556.82	2074.00	1609.00	2130.93	2106.74
ENSG00000180532.6	2246.00	27.00	15.00	40.00	56.00
ENSG00000180535.3	796.00	6.00	5.00	2.00	1.00
ENSG00000180537.8	2064.88	0.00	0.00	0.00	0.00
ENSG00000180539.4	3815.00	0.00	0.00	0.00	0.00
ENSG00000180549.7	2584.00	0.00	1.00	1.00	0.00
ENSG00000180573.8	1612.60	159.00	153.00	196.00	170.00
ENSG00000180574.3	1602.00	79.41	81.93	105.49	116.47
ENSG00000180581.6	270.11	31.46	25.86	1.53	26.75
ENSG00000180592.12	6338.50	39.00	33.00	31.00	32.00
ENSG00000180596.7	616.50	34.00	42.00	29.00	34.00
ENSG00000180611.6	3368.00	23.00	28.00	28.00	23.00
ENSG00000180616.4	1071.00	2.00	2.00	1.00	1.00
ENSG00000180626.9	4327.40	179.00	160.00	205.00	185.00
ENSG00000180628.10	2471.07	2442.00	1943.00	2217.00	2276.00
ENSG00000180638.13	2032.00	0.00	1.00	1.00	0.00
ENSG00000180644.6	2492.00	35.00	27.00	67.00	59.00
ENSG00000180667.6	6086.00	304.00	231.00	587.00	562.00
ENSG00000180672.4	1886.00	3.00	10.00	14.00	12.00
ENSG00000180673.9	1969.00	1.01	2.01	0.00	1.01
ENSG00000180694.9	4128.11	642.00	510.00	657.00	783.00
ENSG00000180712.3	2153.00	7.00	8.00	7.00	3.00
ENSG00000180720.6	1468.00	3.00	4.00	0.00	4.00
ENSG00000180739.12	1630.67	1.00	0.00	1.00	0.00
ENSG00000180745.4	1152.00	0.00	0.00	0.00	0.00
ENSG00000180747.11	2633.87	663.16	557.07	788.05	683.09
ENSG00000180758.10	4596.65	546.00	555.00	390.00	373.00
ENSG00000180764.11	3350.00	7.00	5.96	5.00	4.01
ENSG00000180767.5	1789.00	132.00	265.00	77.00	57.00
ENSG00000180769.4	3227.69	17.00	10.00	28.00	33.00
ENSG00000180771.10	4331.00	246.86	189.01	308.53	251.81
ENSG00000180773.10	2808.36	396.00	310.00	442.00	436.00
ENSG00000180776.11	1211.46	327.00	230.00	365.00	388.00
ENSG00000180801.11	2643.75	1.00	0.00	0.00	0.00
ENSG00000180806.4	887.38	3.00	10.00	1.00	7.00
ENSG00000180815.10	4362.38	189.00	161.00	192.00	171.00
ENSG00000180817.7	1293.46	1426.99	1220.99	1499.99	1528.98
ENSG00000180818.4	939.60	0.00	0.00	0.00	0.00
ENSG00000180822.7	1156.08	217.00	212.00	263.00	225.00
ENSG00000180834.3	2111.00	3.00	6.00	6.00	6.00
ENSG00000180855.11	2663.00	160.68	124.19	184.72	222.02
ENSG00000180861.5	1991.58	1.00	0.00	1.00	4.00
ENSG00000180867.9	1506.86	130.35	134.53	167.45	190.46
ENSG00000180871.3	854.29	0.00	0.00	0.00	0.00
ENSG00000180875.4	4170.00	2.00	2.00	2.00	2.00
ENSG00000180879.9	671.73	659.00	704.00	588.00	571.00
ENSG00000180881.15	1503.33	0.00	0.00	0.00	0.00
ENSG00000180884.9	3665.42	276.00	274.00	310.00	306.00
ENSG00000180891.8	1693.56	185.00	206.00	274.00	216.00
ENSG00000180900.12	2189.35	286.00	364.00	287.00	219.00
ENSG00000180901.6	3146.53	680.00	558.00	720.00	644.00
ENSG00000180902.12	2119.26	343.00	408.00	297.00	222.00
ENSG00000180914.6	4364.00	45.00	31.00	42.00	41.00
ENSG00000180917.12	3272.21	351.00	294.00	402.00	419.00
ENSG00000180921.6	5654.00	309.00	326.00	107.00	102.00
ENSG00000180929.4	2180.00	1.00	1.00	0.00	0.00
ENSG00000180938.5	3275.00	100.00	98.00	141.00	143.00
ENSG00000180953.7	1004.00	12.77	14.00	17.00	17.00
ENSG00000180957.13	2711.29	1024.00	851.00	1198.00	1227.00
ENSG00000180964.12	1197.07	445.00	351.00	504.00	469.00
ENSG00000180979.5	2081.90	139.00	120.00	176.00	195.00
ENSG00000180992.5	956.00	706.00	606.00	636.00	615.00
ENSG00000180998.7	3888.00	32.00	23.00	32.00	30.00
ENSG00000180999.6	760.40	2.00	5.00	6.00	6.00
ENSG00000181004.5	3244.00	41.00	32.00	67.00	48.00
ENSG00000181007.7	2635.17	83.00	69.00	70.00	81.00
ENSG00000181016.5	1152.00	20.00	11.00	22.00	31.00
ENSG00000181019.8	1157.71	3468.00	2821.00	2717.00	2777.00
ENSG00000181026.13	3137.16	947.00	804.00	985.00	958.00
ENSG00000181027.6	2056.01	159.00	205.00	147.00	130.00
ENSG00000181029.7	459.95	25.00	43.00	12.00	11.00
ENSG00000181031.11	2007.23	181.00	168.00	176.00	180.00
ENSG00000181035.9	2851.93	322.00	296.00	251.00	169.00
ENSG00000181038.9	807.51	334.00	269.00	390.00	359.00
ENSG00000181039.7	3611.00	3.00	6.00	5.00	5.00
ENSG00000181045.10	2340.78	118.00	171.00	202.00	157.00
ENSG00000181061.9	1347.37	2626.98	1987.00	2976.00	3220.73
ENSG00000181074.3	1037.00	1.00	0.00	0.00	3.00
ENSG00000181085.10	817.59	3.00	3.00	0.00	2.00
ENSG00000181090.13	2190.42	591.00	525.00	593.00	515.00
ENSG00000181092.5	4562.00	0.00	0.00	1.00	1.00
ENSG00000181097.5	1963.00	7.00	1.00	3.00	4.00
ENSG00000181104.6	3821.00	474.00	416.00	697.00	762.00
ENSG00000181126.9	1871.00	2.00	1.00	1.00	0.00
ENSG00000181135.11	1542.83	64.00	86.00	78.00	62.00
ENSG00000181143.11	9795.00	0.00	0.00	0.00	0.00
ENSG00000181163.9	870.74	16773.99	13171.04	17478.27	18315.03
ENSG00000181191.11	2286.03	179.00	148.00	258.00	217.00
ENSG00000181192.7	4458.76	338.00	262.00	374.00	332.00
ENSG00000181220.11	3945.93	108.00	108.00	160.40	111.00
ENSG00000181222.10	6140.51	3194.00	2918.00	3462.00	2999.00
ENSG00000181227.2	1347.00	0.00	1.00	1.00	1.00
ENSG00000181240.9	1405.00	6.00	12.00	6.00	11.00
ENSG00000181264.4	2468.93	204.00	179.00	220.00	208.00
ENSG00000181274.5	2204.00	182.00	117.00	170.00	162.00
ENSG00000181284.2	1967.97	44.00	44.00	46.00	41.00
ENSG00000181315.6	2875.56	386.02	267.17	450.03	451.40
ENSG00000181322.9	825.00	0.00	0.00	1.00	1.00
ENSG00000181333.11	5345.00	9.00	9.00	3.00	0.00
ENSG00000181350.7	2656.00	2.00	3.00	1.00	1.00
ENSG00000181358.3	2408.00	0.00	0.00	1.03	0.97
ENSG00000181378.9	2749.43	1.00	0.00	0.00	0.00
ENSG00000181381.9	3832.57	5.00	8.00	9.00	7.00
ENSG00000181392.10	1138.77	114.00	125.00	84.00	69.00
ENSG00000181396.8	2257.15	553.00	475.00	517.00	427.00
ENSG00000181404.13	1806.13	84.34	84.68	64.29	63.73
ENSG00000181408.2	1310.00	0.00	0.00	1.00	0.00
ENSG00000181409.7	1626.11	92.00	93.00	55.00	25.00
ENSG00000181418.7	3749.00	15.00	33.00	19.00	9.00
ENSG00000181444.8	1733.00	0.00	1.00	1.00	0.00
ENSG00000181449.2	1318.00	4.00	0.00	0.00	1.00
ENSG00000181450.13	5008.34	139.00	106.00	132.00	175.00
ENSG00000181458.6	1359.07	567.00	484.00	696.00	664.00
ENSG00000181467.2	6237.00	507.00	479.00	553.00	505.00
ENSG00000181472.4	3090.00	449.00	343.00	465.00	457.00
ENSG00000181495.1	2875.00	0.00	2.00	1.55	0.00
ENSG00000181513.10	1355.83	264.00	282.00	294.00	220.00
ENSG00000181523.8	1814.93	436.00	500.00	488.00	388.00
ENSG00000181524.6	421.00	36.01	18.00	34.22	27.31
ENSG00000181544.9	3008.00	49.00	41.00	39.00	55.00
ENSG00000181555.15	7052.26	1695.00	1334.00	1805.00	1820.00
ENSG00000181577.11	3372.08	21.00	24.00	14.00	15.00
ENSG00000181588.15	2477.58	188.00	179.00	212.00	218.00
ENSG00000181610.8	917.01	786.00	658.00	891.00	910.00
ENSG00000181619.11	4355.07	30.44	29.43	51.32	44.00
ENSG00000181625.13	915.07	255.03	268.57	216.03	203.49
ENSG00000181634.7	5351.31	6.00	7.00	10.00	13.00
ENSG00000181638.13	2423.48	173.97	170.06	150.00	131.00
ENSG00000181649.5	955.00	2.00	2.00	1.00	1.00
ENSG00000181652.14	870.90	16.00	16.00	17.00	10.00
ENSG00000181666.13	2086.63	327.00	258.00	354.00	341.00
ENSG00000181690.3	6072.77	452.00	375.00	491.00	536.00
ENSG00000181704.7	4391.87	1026.00	849.00	1114.00	1233.00
ENSG00000181722.11	1995.36	20.00	26.00	38.00	29.00
ENSG00000181744.4	3012.33	286.00	244.00	282.00	287.00
ENSG00000181751.5	2856.94	84.00	77.00	118.00	116.00
ENSG00000181754.6	5088.00	59.00	47.00	50.00	51.00
ENSG00000181773.6	2115.00	40.00	23.00	55.00	46.00
ENSG00000181778.4	1245.00	0.00	0.00	0.00	0.00
ENSG00000181781.5	1272.00	2.00	3.00	1.00	2.00
ENSG00000181788.3	2517.00	1088.00	951.00	1361.00	1268.00
ENSG00000181789.10	2205.85	2396.00	2212.00	2411.00	2233.00
ENSG00000181790.6	4283.20	1.00	1.00	1.00	0.00
ENSG00000181798.2	1282.00	1.00	0.00	2.00	1.00
ENSG00000181817.5	857.00	130.00	118.00	157.00	117.00
ENSG00000181819.14	1013.00	0.00	0.00	2.19	1.05
ENSG00000181826.5	1349.56	102.00	93.00	125.00	117.00
ENSG00000181827.10	6411.01	1385.00	1191.00	1257.00	1305.00
ENSG00000181830.7	3529.06	210.00	188.00	231.00	216.00
ENSG00000181852.13	2538.85	394.00	373.00	485.00	518.00
ENSG00000181856.10	3394.53	125.00	141.00	159.00	132.00
ENSG00000181873.8	6118.21	131.00	133.00	132.00	110.00
ENSG00000181885.14	1016.50	0.00	1.00	0.00	0.00
ENSG00000181894.10	3371.39	179.00	151.00	111.00	119.00
ENSG00000181896.7	1953.75	378.00	319.00	398.00	386.00
ENSG00000181904.8	3807.20	1184.00	871.63	1344.16	1516.08
ENSG00000181915.3	3723.00	332.00	304.00	332.00	353.00
ENSG00000181924.6	901.57	467.00	496.00	483.00	496.00
ENSG00000181929.7	1483.66	327.00	261.00	495.00	375.00
ENSG00000181938.9	2229.17	224.00	162.00	212.00	183.00
ENSG00000181982.13	1219.95	8.00	7.00	17.00	14.00
ENSG00000181991.11	928.71	195.00	187.00	198.00	187.00
ENSG00000181997.8	1041.00	0.00	3.27	1.33	4.51
ENSG00000182004.8	721.51	703.54	625.54	591.43	624.51
ENSG00000182010.6	6184.30	305.00	227.00	241.00	237.00
ENSG00000182013.13	3587.87	29.00	29.00	32.00	42.00
ENSG00000182021.5	2408.98	106.06	84.43	153.74	131.58
ENSG00000182022.13	3865.31	2973.00	2840.00	3178.01	2981.00
ENSG00000182035.7	547.00	0.00	1.00	1.00	1.00
ENSG00000182040.4	3561.00	1.00	0.00	1.00	1.00
ENSG00000182054.5	1625.76	1411.00	1312.00	1198.00	1061.00
ENSG00000182057.4	564.43	8.00	9.00	7.00	3.00
ENSG00000182087.8	1350.14	857.00	986.00	783.00	585.00
ENSG00000182093.10	1386.86	480.00	414.00	505.00	544.00
ENSG00000182095.10	1897.60	1127.00	1384.00	1060.00	873.00
ENSG00000182108.5	969.08	360.00	311.00	303.00	272.00
ENSG00000182109.3	813.00	2.00	2.00	2.00	0.00
ENSG00000182117.4	550.68	838.00	696.00	1107.00	903.00
ENSG00000182118.5	1495.00	6.00	3.00	5.00	2.00
ENSG00000182134.11	2546.75	170.00	128.00	199.00	230.00
ENSG00000182141.5	2934.77	125.00	101.00	136.00	148.00
ENSG00000182149.16	1602.74	3748.95	3223.96	4405.99	4399.95
ENSG00000182150.11	1938.11	346.00	297.00	393.00	440.00
ENSG00000182154.7	1262.00	62.00	101.00	54.00	40.00
ENSG00000182156.5	2036.04	19.00	31.00	4.00	6.00
ENSG00000182158.10	7273.70	3464.00	2916.00	3226.00	2843.00
ENSG00000182162.5	4198.00	131.00	117.00	58.00	61.00
ENSG00000182165.13	805.80	113.00	95.00	98.00	95.00
ENSG00000182173.8	887.57	226.00	192.00	230.00	212.00
ENSG00000182175.9	1931.14	0.00	0.00	0.00	0.00
ENSG00000182179.6	2068.12	240.00	229.00	165.00	175.00
ENSG00000182180.9	1674.19	995.00	781.00	1053.00	998.00
ENSG00000182185.14	1554.57	110.00	76.00	94.00	90.00
ENSG00000182195.6	1077.00	0.00	0.00	1.00	0.00
ENSG00000182196.9	849.25	839.91	806.52	744.34	599.63
ENSG00000182197.6	2920.14	964.00	736.00	1114.00	1177.00
ENSG00000182199.6	1776.00	1837.00	1621.00	1770.00	1573.00
ENSG00000182208.8	916.72	118.00	119.00	124.00	108.00
ENSG00000182217.7	1535.22	27.06	14.57	25.02	15.05
ENSG00000182218.5	4815.50	0.00	0.00	1.00	0.00
ENSG00000182220.9	1960.83	1239.00	987.00	1421.00	1544.00
ENSG00000182224.7	3277.91	472.02	367.00	482.00	511.00
ENSG00000182230.7	258.00	3.00	4.00	0.00	1.00
ENSG00000182240.11	1485.77	12.00	8.00	15.00	14.00
ENSG00000182247.5	1292.16	15.00	11.00	14.00	16.00
ENSG00000182253.10	6641.96	248.00	201.00	179.00	215.00
ENSG00000182263.9	8481.35	564.00	466.00	485.00	527.00
ENSG00000182264.4	366.44	4.00	3.00	4.00	4.00
ENSG00000182271.8	1162.50	0.00	0.00	1.00	0.00
ENSG00000182272.7	2346.26	496.00	556.00	529.00	420.00
ENSG00000182287.9	1454.89	229.00	190.00	227.00	240.00
ENSG00000182307.8	2614.62	404.00	362.00	421.00	426.00
ENSG00000182308.5	4764.00	4.00	1.00	3.00	2.00
ENSG00000182310.8	1527.23	9.00	9.00	57.00	28.00
ENSG00000182318.5	4629.00	60.00	74.00	81.00	90.00
ENSG00000182319.5	4699.16	622.00	755.00	873.00	813.00
ENSG00000182324.5	2960.00	5.00	9.00	9.22	6.05
ENSG00000182325.6	1775.91	124.00	113.30	111.71	91.83
ENSG00000182326.10	2518.33	530.00	377.00	636.00	596.00
ENSG00000182327.7	1023.00	29.00	43.00	11.00	12.00
ENSG00000182329.6	2924.83	0.00	0.00	0.00	0.00
ENSG00000182359.10	1223.46	30.00	31.00	66.00	64.00
ENSG00000182362.9	975.33	101.00	82.00	86.00	87.00
ENSG00000182366.5	2739.94	1.00	0.00	2.00	2.00
ENSG00000182368.4	616.00	1.33	5.00	3.00	2.50
ENSG00000182372.6	2717.17	454.00	416.00	294.00	257.00
ENSG00000182378.8	4028.59	3247.00	3301.00	2132.00	1798.00
ENSG00000182379.9	1804.00	6.00	6.00	8.00	6.00
ENSG00000182389.14	6454.09	277.00	237.00	322.00	328.00
ENSG00000182397.10	1940.31	4.00	1.00	6.00	5.00
ENSG00000182400.10	3003.14	1105.00	900.00	1352.00	1429.00
ENSG00000182404.6	1904.00	1.00	1.00	2.00	1.00
ENSG00000182405.4	2318.00	44.00	32.00	71.00	54.00
ENSG00000182446.9	3404.13	1714.00	1516.00	2039.00	1639.00
ENSG00000182459.4	1936.00	39.00	34.00	17.00	17.00
ENSG00000182463.11	8371.44	53.39	54.79	47.51	66.00
ENSG00000182472.4	1416.55	125.00	170.00	60.00	47.00
ENSG00000182473.16	3298.51	2385.00	2228.00	2343.00	2041.00
ENSG00000182477.5	938.00	0.00	0.00	0.00	1.00
ENSG00000182481.4	2181.00	3120.43	2316.40	2867.61	2715.85
ENSG00000182484.10	1368.88	309.73	312.24	256.25	186.94
ENSG00000182489.7	2848.01	1.00	0.00	0.00	1.00
ENSG00000182492.11	2308.02	100.00	100.00	116.00	93.00
ENSG00000182500.7	2139.00	138.00	122.00	135.00	118.00
ENSG00000182504.6	5607.11	166.00	177.00	187.00	189.00
ENSG00000182511.7	2829.00	55.00	50.00	32.00	36.00
ENSG00000182512.4	1042.90	1052.00	965.00	775.00	738.00
ENSG00000182518.9	1079.96	70.00	72.00	115.00	91.00
ENSG00000182521.5	2037.00	0.00	0.00	0.00	1.00
ENSG00000182534.9	1843.92	1792.37	1574.67	2963.43	2795.80
ENSG00000182541.13	2976.81	785.00	721.00	1226.00	1112.00
ENSG00000182544.8	1355.06	209.00	203.00	300.00	247.00
ENSG00000182545.6	944.50	0.00	0.00	0.00	0.00
ENSG00000182551.9	2490.20	1095.00	866.00	684.00	648.00
ENSG00000182552.10	2198.30	306.04	209.03	296.42	338.33
ENSG00000182557.3	1133.29	2.00	2.00	0.00	0.00
ENSG00000182568.12	1986.23	7.00	4.00	5.00	5.00
ENSG00000182575.7	2842.65	14.00	21.00	17.00	11.00
ENSG00000182578.9	1506.00	0.00	0.00	0.00	0.00
ENSG00000182580.2	1734.67	2.00	3.00	1.00	0.00
ENSG00000182600.5	2481.01	496.00	460.00	422.00	397.16
ENSG00000182606.10	4882.63	2015.00	1821.00	2370.00	2360.00
ENSG00000182611.3	496.00	2.07	1.30	1.36	1.00
ENSG00000182612.6	1340.04	14.00	7.00	12.00	7.00
ENSG00000182621.12	5496.74	1794.00	1494.00	2663.00	2690.00
ENSG00000182628.8	1124.37	609.98	408.97	958.97	939.00
ENSG00000182632.10	3311.00	2.00	0.00	3.00	1.00
ENSG00000182646.12	1871.49	752.33	412.47	473.08	395.45
ENSG00000182648.7	739.21	13.00	8.00	15.71	8.00
ENSG00000182670.9	6069.94	5510.81	4573.01	5800.32	5797.70
ENSG00000182676.4	881.67	0.00	0.00	0.00	0.00
ENSG00000182685.3	1913.00	26.00	25.00	19.00	19.00
ENSG00000182687.3	1364.00	1.00	2.00	4.00	0.00
ENSG00000182700.3	2871.00	122.00	102.00	149.00	150.00
ENSG00000182704.6	2738.21	342.00	319.00	335.00	249.00
ENSG00000182712.11	997.50	35.22	66.64	72.69	36.75
ENSG00000182718.12	754.40	2905.26	2579.30	3386.40	3371.88
ENSG00000182749.5	3297.00	573.00	583.00	482.00	500.00
ENSG00000182752.8	10959.00	35.00	37.00	25.00	24.00
ENSG00000182759.3	1446.50	2.00	2.00	0.00	0.00
ENSG00000182768.7	1649.61	946.22	766.00	1229.92	1197.00
ENSG00000182771.13	2612.86	2.00	1.00	2.00	2.00
ENSG00000182774.6	595.39	8984.42	7703.29	10975.74	9636.43
ENSG00000182782.7	2051.00	8.88	17.67	10.96	12.82
ENSG00000182791.3	2915.00	5.00	3.00	6.00	6.00
ENSG00000182795.12	4533.84	52.00	42.00	83.00	70.00
ENSG00000182796.8	2021.80	196.08	156.00	212.00	208.00
ENSG00000182809.6	1011.47	68.00	108.00	98.00	67.00
ENSG00000182810.5	2592.00	171.00	156.00	193.00	181.00
ENSG00000182827.8	3418.25	923.00	748.00	1034.00	997.00
ENSG00000182831.7	5953.00	853.00	778.00	950.00	893.00
ENSG00000182836.5	7538.00	0.00	1.00	2.00	1.00
ENSG00000182841.8	1912.90	176.05	181.11	258.85	167.11
ENSG00000182853.7	717.50	0.00	1.00	0.00	0.00
ENSG00000182858.9	4149.50	230.00	230.00	210.00	144.00
ENSG00000182866.12	2012.38	58.00	53.00	38.00	34.00
ENSG00000182870.8	1693.00	0.00	0.00	0.00	1.00
ENSG00000182871.10	3819.86	3124.00	3904.00	2200.00	1637.00
ENSG00000182872.11	3270.27	582.00	587.00	471.00	413.00
ENSG00000182873.4	2260.00	4.00	2.00	8.00	6.00
ENSG00000182885.12	2305.50	125.00	115.00	148.00	156.00
ENSG00000182890.3	2333.00	27.99	17.64	14.48	11.37
ENSG00000182899.10	581.88	4677.00	3597.00	5721.00	5536.00
ENSG00000182902.9	2172.82	8.00	6.00	3.00	3.00
ENSG00000182903.11	2558.58	379.03	342.43	476.30	466.01
ENSG00000182909.5	1914.00	8.00	15.00	10.00	6.00
ENSG00000182912.6	1335.62	57.00	61.00	36.00	33.00
ENSG00000182916.7	1014.50	1.00	0.00	0.00	0.00
ENSG00000182919.10	1768.53	915.00	734.00	818.00	811.00
ENSG00000182923.12	2250.10	320.00	297.00	447.00	445.00
ENSG00000182931.5	552.50	0.00	0.00	0.00	0.00
ENSG00000182934.7	2873.08	1918.00	1726.00	1971.00	1767.00
ENSG00000182944.13	2299.23	4436.91	3969.95	4589.89	4252.93
ENSG00000182950.2	1196.00	4.00	5.00	4.00	2.00
ENSG00000182952.4	1225.00	741.00	555.00	948.00	868.00
ENSG00000182957.11	4744.91	555.00	494.00	738.00	662.90
ENSG00000182963.5	5140.20	269.00	219.00	284.00	288.00
ENSG00000182973.14	2102.17	409.00	308.00	410.00	519.00
ENSG00000182979.13	2292.77	838.00	921.00	904.00	687.68
ENSG00000182983.10	3186.00	1.00	1.00	0.00	2.00
ENSG00000182985.12	2460.71	2842.00	2365.00	3100.00	3055.00
ENSG00000182986.8	1434.38	12.02	4.00	7.07	3.02
ENSG00000182993.3	1605.15	21.00	23.00	28.00	18.00
ENSG00000183010.12	1398.74	1863.00	1883.00	1461.00	1169.00
ENSG00000183011.9	641.89	104.00	124.00	78.00	58.00
ENSG00000183018.4	1254.75	0.00	1.00	0.00	0.00
ENSG00000183019.3	1010.67	0.00	0.00	0.00	0.00
ENSG00000183020.9	1905.69	1075.00	1072.00	1079.00	933.00
ENSG00000183023.14	3997.21	0.00	0.00	0.00	0.00
ENSG00000183032.6	1011.47	21.00	19.00	33.00	35.00
ENSG00000183038.9	920.50	0.00	0.00	1.02	0.00
ENSG00000183044.7	4749.08	2129.00	1725.00	2243.00	2026.00
ENSG00000183048.7	1517.94	404.00	441.00	296.00	257.00
ENSG00000183049.8	8154.00	3.00	0.00	4.00	1.00
ENSG00000183054.7	6084.63	974.72	739.91	1098.94	1010.55
ENSG00000183055.5	704.00	0.00	0.00	0.00	0.00
ENSG00000183060.11	2656.42	142.00	133.00	177.00	173.90
ENSG00000183067.5	1284.00	0.00	0.00	0.00	0.00
ENSG00000183072.9	1709.00	5.00	6.00	3.00	4.00
ENSG00000183077.11	891.84	2258.09	2059.00	1491.00	1376.00
ENSG00000183086.10	990.00	15.10	0.00	7.91	13.37
ENSG00000183087.10	2169.06	4.00	7.00	4.00	2.00
ENSG00000183091.15	3177.03	19.00	14.00	16.00	20.00
ENSG00000183098.6	6467.00	2164.00	1824.00	911.00	811.00
ENSG00000183111.7	4968.00	17.00	16.00	15.00	19.00
ENSG00000183114.6	2581.00	22.00	29.00	37.00	32.00
ENSG00000183117.13	12134.00	2.00	0.00	0.00	2.00
ENSG00000183134.4	2895.00	38.00	40.00	19.00	16.00
ENSG00000183137.10	1727.42	112.00	93.00	131.00	161.00
ENSG00000183145.4	2114.06	22.00	29.00	60.00	63.00
ENSG00000183148.5	2129.00	1.23	0.00	2.57	0.00
ENSG00000183150.3	1147.99	29.00	16.00	16.00	13.00
ENSG00000183154.1	2086.00	0.00	0.00	0.00	0.00
ENSG00000183155.4	2430.00	131.00	117.00	132.00	157.00
ENSG00000183160.8	1083.75	1.00	0.00	1.00	0.00
ENSG00000183161.3	3309.00	147.00	114.00	181.00	211.00
ENSG00000183166.6	4380.57	0.00	1.00	0.00	0.00
ENSG00000183171.5	2143.00	0.00	1.00	2.00	1.00
ENSG00000183172.8	806.24	177.00	146.00	160.00	145.00
ENSG00000183185.5	3694.55	8.00	13.00	23.00	26.00
ENSG00000183186.6	3098.00	0.00	0.00	0.00	0.00
ENSG00000183196.4	2813.23	10.00	3.00	31.00	33.00
ENSG00000183199.6	2173.00	26.08	22.05	32.24	28.09
ENSG00000183207.8	1658.83	709.00	783.00	588.00	504.00
ENSG00000183208.8	743.76	8.00	10.00	10.00	10.00
ENSG00000183230.12	696.00	0.00	0.00	1.00	1.00
ENSG00000183242.7	1416.71	0.00	0.00	0.00	0.00
ENSG00000183246.6	5475.00	0.00	0.00	0.00	4.40
ENSG00000183248.7	4518.00	98.00	104.00	103.00	77.00
ENSG00000183250.7	648.00	4.00	9.00	4.00	2.00
ENSG00000183251.3	983.00	1.00	2.00	0.00	3.00
ENSG00000183255.7	2521.12	7833.08	7342.00	9223.00	8753.00
ENSG00000183258.7	1914.63	894.00	884.00	1242.00	1080.00
ENSG00000183281.10	1169.03	4.45	5.00	2.68	0.28
ENSG00000183283.11	1456.63	1585.00	1381.00	2107.00	1893.00
ENSG00000183287.9	2518.50	0.00	0.00	2.00	0.00
ENSG00000183291.11	1198.83	1526.00	1149.00	1723.00	1756.00
ENSG00000183298.4	879.50	0.00	0.00	2.13	0.00
ENSG00000183305.9	309.00	0.00	0.00	0.00	0.82
ENSG00000183307.3	3961.00	2.00	2.00	1.00	2.00
ENSG00000183308.6	652.50	0.00	0.00	0.00	0.00
ENSG00000183309.7	3524.77	326.00	273.00	340.00	362.00
ENSG00000183317.12	4531.63	9.00	15.00	11.00	10.00
ENSG00000183323.8	3238.94	210.00	183.55	348.00	329.00
ENSG00000183336.7	1012.00	37.51	46.03	34.24	24.30
ENSG00000183337.12	4692.74	1306.44	1228.00	1164.00	1098.00
ENSG00000183340.5	3068.45	218.00	178.00	391.00	390.00
ENSG00000183354.7	6283.38	414.00	337.00	506.00	429.00
ENSG00000183379.4	1838.33	0.00	0.00	1.00	0.00
ENSG00000183386.5	1591.50	160.00	151.00	243.00	247.00
ENSG00000183396.3	662.00	0.00	0.00	1.00	0.00
ENSG00000183397.5	674.00	0.00	0.00	0.00	0.00
ENSG00000183401.7	564.54	37.00	31.00	57.00	46.00
ENSG00000183405.5	647.00	430.01	281.77	425.28	386.05
ENSG00000183421.7	3889.00	161.00	164.00	213.00	182.00
ENSG00000183423.7	3496.50	1.00	2.00	1.00	0.00
ENSG00000183426.11	1163.38	1550.94	1857.33	1806.50	1455.35
ENSG00000183431.7	1389.49	1534.00	1274.00	1919.00	1922.00
ENSG00000183444.10	985.00	68.00	49.00	72.00	75.00
ENSG00000183458.9	3261.06	108.22	301.36	133.44	58.45
ENSG00000183473.5	4099.00	14.00	10.00	1.00	4.00
ENSG00000183474.11	1829.27	532.59	358.23	621.81	593.29
ENSG00000183475.8	4906.81	343.00	284.00	374.00	361.00
ENSG00000183479.8	1519.25	0.00	1.00	1.00	0.00
ENSG00000183484.7	2384.17	0.00	0.00	0.00	0.00
ENSG00000183486.8	1712.51	578.00	504.00	727.00	639.00
ENSG00000183495.9	12101.14	1188.89	1008.09	1165.45	1034.17
ENSG00000183496.5	3611.86	23.00	25.00	28.00	25.00
ENSG00000183506.12	2461.39	700.19	758.64	529.75	482.81
ENSG00000183508.4	5751.00	12.00	6.00	24.00	27.00
